1. th (92535489, 3.882543%)
2. he (87741289, 3.681391%)
3. in (54433847, 2.283899%)
4. er (51910883, 2.178042%)
5. an (51015163, 2.140460%)
6. re (41694599, 1.749394%)
7. nd (37466077, 1.571977%)
8. on (33802063, 1.418244%)
9. en (32967758, 1.383239%)
10. at (31830493, 1.335523%)
11. ou (30637892, 1.285484%)
12. ed (30406590, 1.275779%)
13. ha (30381856, 1.274742%)
14. to (27877259, 1.169655%)
15. or (27434858, 1.151094%)
16. it (27048699, 1.134891%)
17. is (26452510, 1.109877%)
18. hi (26033632, 1.092302%)
19. es (26033602, 1.092301%)
20. ng (25106109, 1.053385%)
21. se (25106109, 0.93%)
22. ha (25106109, 0.93%)
23. of (25106109, 1.17%)
24. io (25106109, 0.83%)
25. le (25106109, 0.83%)
26. ve (25106109, 0.83%)
27. co (25106109, 0.79%)
28. me (25106109, 0.79%)
29. de (25106109, 0.76%)
30. hi (25106109, 0.76%)
31. ri (25106109, 0.73%)
32. ro (25106109, 0.73%)
33. ic (25106109, 0.70%)
34. ea (25106109, 0.69%)
35. ra (25106109, 0.69%)
36. ce (25106109, 0.65%)
37. te (25106109, 1.20%)
38. ti (25106109, 1.34%)
